"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","RichFactor","FoldEnrichment"
"hsa04750","hsa04750","Inflammatory mediator regulation of TRP channels","7/375","98/8644",0.132719738399917,0.455619453826901,0.380090700829459,"PRKCQ/PLCG1/CAMK2D/ITPR3/ADCY9/MAPK11/JMJD7-PLA2G4B",7,0.0714285714285714,1.64647619047619
"hsa00730","hsa00730","Thiamine metabolism","2/375","15/8644",0.13601465003219,0.455619453826901,0.380090700829459,"AK1/AK5",2,0.133333333333333,3.07342222222222
"hsa04210","hsa04210","Apoptosis","9/375","136/8644",0.136234076935555,0.455619453826901,0.380090700829459,"TP53/CTSF/BCL2/ITPR3/FASLG/PRF1/GZMB/CTSW/PTPN13",9,0.0661764705882353,1.52541176470588
"hsa00564","hsa00564","Glycerophospholipid metabolism","7/375","99/8644",0.137859355783157,0.455619453826901,0.380090700829459,"LPIN1/PLD4/PLPP1/ETNK2/PNPLA7/DGKK/JMJD7-PLA2G4B",7,0.0707070707070707,1.62984511784512
"hsa00591","hsa00591","Linoleic acid metabolism","3/375","30/8644",0.139270231448447,0.455619453826901,0.380090700829459,"CYP2E1/ALOX15/JMJD7-PLA2G4B",3,0.1,2.30506666666667
"hsa05135","hsa05135","Yersinia infection","9/375","137/8644",0.140613924522964,0.455619453826901,0.380090700829459,"CD4/LCK/PLCG1/NFATC2/ZAP70/MAPK11/CD8B/CD8A/CCL2",9,0.0656934306569343,1.51427737226277
"hsa04933","hsa04933","AGE-RAGE signaling pathway in diabetic complications","7/375","100/8644",0.143094937784745,0.455619453826901,0.380090700829459,"SMAD3/PLCG1/BCL2/TGFB3/MAPK11/NOS3/CCL2",7,0.07,1.61354666666667
"hsa04929","hsa04929","GnRH secretion","5/375","64/8644",0.143707338558978,0.455619453826901,0.380090700829459,"ITPR3/KCNN4/CACNA1H/TRPC1/CACNA1I",5,0.078125,1.80083333333333
"hsa04722","hsa04722","Neurotrophin signaling pathway","8/375","119/8644",0.144867161201143,0.455619453826901,0.380090700829459,"TP53/PLCG1/CAMK2D/BCL2/MAPK11/CAMK4/FASLG/MATK",8,0.0672268907563025,1.54962464985994
"hsa04014","hsa04014","Ras signaling pathway","14/375","236/8644",0.145674247141934,0.455619453826901,0.380090700829459,"PLCG1/MRAS/RASGRP1/TIAM1/CSF1R/ZAP70/RASGRF2/FLT3LG/ETS1/FASLG/PDGFD/BUB1B-PAK6/PDGFRB/JMJD7-PLA2G4B",14,0.0593220338983051,1.36741242937853
"hsa05418","hsa05418","Fluid shear stress and atherosclerosis","9/375","139/8644",0.149587220604513,0.458247235151576,0.382282870713631,"IL1R2/TP53/ACVR2A/ACVR2B/BCL2/MAPK11/NOS3/IFNG/CCL2",9,0.0647482014388489,1.49248920863309
"hsa04927","hsa04927","Cortisol synthesis and secretion","5/375","65/8644",0.150528508950888,0.458247235151576,0.382282870713631,"ITPR3/ADCY9/CACNA1H/CACNA1I/NR4A1",5,0.0769230769230769,1.77312820512821
"hsa00360","hsa00360","Phenylalanine metabolism","2/375","16/8644",0.151190414318717,0.458247235151576,0.382282870713631,"MAOA/IL4I1",2,0.125,2.88133333333333
"hsa04136","hsa04136","Autophagy - other","3/375","32/8644",0.160023890511365,0.480071671534096,0.400489435973664,"RPTOR/ULK2/ATG9B",3,0.09375,2.161
"hsa00330","hsa00330","Arginine and proline metabolism","4/375","50/8644",0.170457624011772,0.506207489489505,0.422292678306676,"MAOA/ARG1/CARNS1/NOS3",4,0.08,1.84405333333333
"hsa00061","hsa00061","Fatty acid biosynthesis","2/375","18/8644",0.182422262299511,0.536321451160563,0.447414601218801,"OLAH/HSD17B8",2,0.111111111111111,2.56118518518519
"hsa04066","hsa04066","HIF-1 signaling pathway","7/375","109/8644",0.194231645004592,0.565387164666832,0.471662045712037,"PLCG1/CAMK2D/BCL2/ENO2/ERBB2/NOS3/IFNG",7,0.0642201834862385,1.48031804281346
"hsa05223","hsa05223","Non-small cell lung cancer","5/375","72/8644",0.201766282256312,0.581561637091722,0.485155250420234,"TP53/PLCG1/FHIT/ERBB2/KIF5C",5,0.0694444444444444,1.60074074074074
"hsa05222","hsa05222","Small cell lung cancer","6/375","92/8644",0.209053257226745,0.596715122569544,0.497796718792352,"TP53/TRAF5/BCL2/FHIT/ITGA3/LAMA2",6,0.0652173913043478,1.50330434782609
"hsa05143","hsa05143","African trypanosomiasis","3/375","37/8644",0.215384710229295,0.603077188642027,0.503104135172189,"FASLG/IFNG/IDO1",3,0.0810810810810811,1.86897297297297
"hsa05216","hsa05216","Thyroid cancer","3/375","37/8644",0.215384710229295,0.603077188642027,0.503104135172189,"TP53/TCF7/LEF1",3,0.0810810810810811,1.86897297297297
"hsa04724","hsa04724","Glutamatergic synapse","7/375","115/8644",0.231831260908579,0.642959537026894,0.536375123978755,"ITPR3/ADCY9/LZTS3/TRPC1/SLC1A7/GLS2/JMJD7-PLA2G4B",7,0.0608695652173913,1.40308405797101
"hsa04150","hsa04150","mTOR signaling pathway","9/375","156/8644",0.236189217683349,0.642959537026894,0.536375123978755,"GRB10/RPTOR/ULK2/LPIN1/WNT10B/PRR5L/WNT7A/WNT10A/WNT1",9,0.0576923076923077,1.32984615384615
"hsa04218","hsa04218","Cellular senescence","9/375","156/8644",0.236189217683349,0.642959537026894,0.536375123978755,"TP53/SMAD3/MRAS/NFATC2/TGFB3/ITPR3/MAPK11/IGFBP3/ETS1",9,0.0576923076923077,1.32984615384615
"hsa04713","hsa04713","Circadian entrainment","6/375","97/8644",0.244464986297139,0.659382623590447,0.55007572966908,"CAMK2D/ITPR3/RYR1/ADCY9/CACNA1H/CACNA1I",6,0.0618556701030928,1.42581443298969
"hsa01522","hsa01522","Endocrine resistance","6/375","98/8644",0.251752719855653,0.664397052271589,0.554258908626138,"TP53/BCL2/ERBB2/ADCY9/MAPK11/DLL1",6,0.0612244897959184,1.41126530612245
"hsa05231","hsa05231","Choline metabolism in cancer","6/375","98/8644",0.251752719855653,0.664397052271589,0.554258908626138,"PLCG1/PLPP1/PDGFD/PDGFRB/DGKK/JMJD7-PLA2G4B",6,0.0612244897959184,1.41126530612245
"hsa04217","hsa04217","Necroptosis","9/375","159/8644",0.253103638960605,0.664397052271589,0.554258908626138,"MACROH2A2/TRAF5/CAMK2D/BCL2/FASLG/TLR3/IFNG/ALOX15/JMJD7-PLA2G4B",9,0.0566037735849057,1.30475471698113
"hsa05219","hsa05219","Bladder cancer","3/375","41/8644",0.262132477331178,0.679116486878967,0.56653827942284,"TP53/ERBB2/UPK3A",3,0.0731707317073171,1.68663414634146
"hsa04614","hsa04614","Renin-angiotensin system","2/375","23/8644",0.263330882667354,0.679116486878967,0.56653827942284,"ACE/CPA3",2,0.0869565217391304,2.00440579710145
"hsa04510","hsa04510","Focal adhesion","11/375","203/8644",0.266492277832255,0.681293301588548,0.568354240136526,"FYN/ITGB7/BCL2/ERBB2/ITGA3/LAMA2/PDGFD/COL6A2/BUB1B-PAK6/PDGFRB/COL6A1",11,0.0541871921182266,1.24905090311987
"hsa05161","hsa05161","Hepatitis B","9/375","162/8644",0.270404641840904,0.685335902596773,0.571726692821512,"TP53/SMAD3/NFATC2/BCL2/TGFB3/MAPK11/FASLG/TLR3/EGR2",9,0.0555555555555556,1.28059259259259
"hsa00380","hsa00380","Tryptophan metabolism","3/375","42/8644",0.274029052732231,0.688585824814324,0.574437870324875,"MAOA/IL4I1/IDO1",3,0.0714285714285714,1.64647619047619
"hsa04972","hsa04972","Pancreatic secretion","6/375","102/8644",0.28147025346449,0.690372490381758,0.575928357532938,"ITPR3/ADCY9/ATP1A3/TRPC1/CPA3/SLC4A4",6,0.0588235294117647,1.35592156862745
"hsa05146","hsa05146","Amoebiasis","6/375","102/8644",0.28147025346449,0.690372490381758,0.575928357532938,"IL1R2/ARG1/TGFB3/LAMA2/CD1C/IFNG",6,0.0588235294117647,1.35592156862745
"hsa04330","hsa04330","Notch signaling pathway","4/375","62/8644",0.281784689951738,0.690372490381758,0.575928357532938,"DTX3/TLE2/DTX1/DLL1",4,0.0645161290322581,1.48713978494624
"hsa04611","hsa04611","Platelet activation","7/375","124/8644",0.292186640056274,0.709941092368136,0.592253041610368,"FYN/RASGRP1/ITPR3/ADCY9/MAPK11/NOS3/JMJD7-PLA2G4B",7,0.0564516129032258,1.30124731182796
"hsa04625","hsa04625","C-type lectin receptor signaling pathway","6/375","104/8644",0.296619032182656,0.714803241489351,0.596309184629498,"MRAS/NFATC2/ITPR3/IL23A/MAPK11/EGR2",6,0.0576923076923077,1.32984615384615
"hsa02010","hsa02010","ABC transporters","3/375","45/8644",0.309992031559506,0.740956563239796,0.61812702912593,"ABCC11/ABCB1/ABCD2",3,0.0666666666666667,1.53671111111111
"hsa04911","hsa04911","Insulin secretion","5/375","86/8644",0.317243187569429,0.745096664553836,0.621580819337787,"CAMK2D/ITPR3/ADCY9/KCNN4/ATP1A3",5,0.0581395348837209,1.34015503875969
"hsa04530","hsa04530","Tight junction","9/375","170/8644",0.318093170508053,0.745096664553836,0.621580819337787,"DLG3/TIAM1/ERBB2/TJP3/AMOT/LLGL2/PPP2R2B/PATJ/CD1C",9,0.0529411764705882,1.22032941176471
"hsa04260","hsa04260","Cardiac muscle contraction","5/375","87/8644",0.325875806347804,0.745096664553836,0.621580819337787,"CACNB1/TPM2/CACNA2D3/ATP1A3/CACNA2D2",5,0.0574712643678161,1.32475095785441
"hsa04814","hsa04814","Motor proteins","10/375","193/8644",0.327744019885945,0.745096664553836,0.621580819337787,"BICDL1/DNAI2/TPM2/KIFC2/KIF5C/DNAH6/TUBB4A/KIF21A/KIF19/TNNT1",10,0.0518134715025907,1.19433506044905
"hsa04966","hsa04966","Collecting duct acid secretion","2/375","27/8644",0.328404999570078,0.745096664553836,0.621580819337787,"ATP6V0E2/SLC12A7",2,0.0740740740740741,1.70745679012346
"hsa05221","hsa05221","Acute myeloid leukemia","4/375","67/8644",0.3312328067395,0.745096664553836,0.621580819337787,"TCF7/CSF1R/LEF1/JUP",4,0.0597014925373134,1.3761592039801
"hsa05167","hsa05167","Kaposi sarcoma-associated herpesvirus infection","10/375","194/8644",0.333515632897928,0.745096664553836,0.621580819337787,"TP53/PLCG1/TCF7/NFATC2/ITPR3/CCR5/MAPK11/LEF1/TLR3/CCR3",10,0.0515463917525773,1.18817869415808
"hsa00514","hsa00514","Other types of O-glycan biosynthesis","3/375","47/8644",0.334063877965316,0.745096664553836,0.621580819337787,"GALNT6/GALNT12/COLGALT2",3,0.0638297872340425,1.47131914893617
"hsa04540","hsa04540","Gap junction","5/375","88/8644",0.334533196330294,0.745096664553836,0.621580819337787,"ITPR3/ADCY9/TUBB4A/PDGFD/PDGFRB",5,0.0568181818181818,1.30969696969697
"hsa04512","hsa04512","ECM-receptor interaction","5/375","89/8644",0.343210630582651,0.755783581288025,0.630496149087396,"ITGB7/ITGA3/LAMA2/COL6A2/COL6A1",5,0.0561797752808989,1.29498127340824
"hsa00601","hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series","2/375","28/8644",0.344472788750324,0.755783581288025,0.630496149087396,"ST8SIA1/B3GALT2",2,0.0714285714285714,1.64647619047619
"hsa05230","hsa05230","Central carbon metabolism in cancer","4/375","70/8644",0.361150876300717,0.786506352832671,0.656125958503446,"TP53/ERBB2/PDGFRB/GLS2",4,0.0571428571428571,1.31718095238095
"hsa04725","hsa04725","Cholinergic synapse","6/375","113/8644",0.366309034487436,0.79187394220078,0.660603754145298,"FYN/CAMK2D/BCL2/ITPR3/ADCY9/CAMK4",6,0.0530973451327434,1.22392920353982
"hsa05110","hsa05110","Vibrio cholerae infection","3/375","50/8644",0.370077334149544,0.794180556496102,0.662527997363379,"PLCG1/ATP6V0E2/ADCY9",3,0.06,1.38304
"hsa04912","hsa04912","GnRH signaling pathway","5/375","93/8644",0.378029037938133,0.796538828292789,0.664495334737629,"CAMK2D/ITPR3/ADCY9/MAPK11/JMJD7-PLA2G4B",5,0.0537634408602151,1.23928315412186
"hsa01200","hsa01200","Carbon metabolism","6/375","115/8644",0.381970857894569,0.796538828292789,0.664495334737629,"ME3/ENO2/PC/TKTL1/SDSL/SDS",6,0.0521739130434783,1.20264347826087
"hsa04726","hsa04726","Serotonergic synapse","6/375","115/8644",0.381970857894569,0.796538828292789,0.664495334737629,"MAOA/ITPR3/TRPC1/HTR6/ALOX15/JMJD7-PLA2G4B",6,0.0521739130434783,1.20264347826087
"hsa04979","hsa04979","Cholesterol metabolism","3/375","51/8644",0.382013519691439,0.796538828292789,0.664495334737629,"PCSK9/LPA/SOAT2",3,0.0588235294117647,1.35592156862745
"hsa04657","hsa04657","IL-17 signaling pathway","5/375","94/8644",0.386738615693233,0.80071234516768,0.667977001160292,"TRAF5/MAPK11/IL4/IFNG/CCL2",5,0.0531914893617021,1.22609929078014
"hsa01524","hsa01524","Platinum drug resistance","4/375","73/8644",0.391031347632728,0.8039385748533,0.670668413679982,"TP53/BCL2/ERBB2/FASLG",4,0.0547945205479452,1.2630502283105
"hsa00270","hsa00270","Cysteine and methionine metabolism","3/375","52/8644",0.393899075443596,0.804210612364009,0.670895355104956,"IL4I1/SDSL/SDS",3,0.0576923076923077,1.32984615384615
"hsa04371","hsa04371","Apelin signaling pathway","7/375","139/8644",0.398608661196949,0.808213423392436,0.674234613857635,"SMAD3/MRAS/ITPR3/RYR1/ADCY9/CAMK4/NOS3",7,0.0503597122302158,1.16082494004796
"hsa04215","hsa04215","Apoptosis - multiple species","2/375","32/8644",0.407298079626372,0.820175585001051,0.684213789134425,"BCL2/BOK",2,0.0625,1.44066666666667
"hsa04666","hsa04666","Fc gamma R-mediated phagocytosis","5/375","97/8644",0.412811631498822,0.825623262997644,0.688758396986935,"AMPH/BIN1/PLCG1/PLPP1/JMJD7-PLA2G4B",5,0.0515463917525773,1.18817869415808
"hsa04971","hsa04971","Gastric acid secretion","4/375","76/8644",0.420708649819261,0.830123107697065,0.692512295357737,"CAMK2D/ITPR3/ADCY9/ATP1A3",4,0.0526315789473684,1.21319298245614
"hsa05212","hsa05212","Pancreatic cancer","4/375","76/8644",0.420708649819261,0.830123107697065,0.692512295357737,"TP53/SMAD3/TGFB3/ERBB2",4,0.0526315789473684,1.21319298245614
"hsa04015","hsa04015","Rap1 signaling pathway","10/375","210/8644",0.427539762706359,0.835078763018064,0.696646443906942,"SKAP1/EVL/PLCG1/MRAS/TIAM1/CSF1R/ADCY9/MAPK11/PDGFD/PDGFRB",10,0.0476190476190476,1.09765079365079
"hsa04919","hsa04919","Thyroid hormone signaling pathway","6/375","121/8644",0.428900997332407,0.835078763018064,0.696646443906942,"PFKFB2/TP53/PLCG1/TBC1D4/ATP1A3/RCAN2",6,0.0495867768595041,1.14300826446281
"hsa04710","hsa04710","Circadian rhythm","2/375","34/8644",0.437617685784476,0.846444734346289,0.706128260303206,"RORC/RORA",2,0.0588235294117647,1.35592156862745
"hsa05417","hsa05417","Lipid and atherosclerosis","10/375","215/8644",0.457044919543419,0.878243178730492,0.73265542658147,"TP53/CD40LG/PLCG1/CAMK2D/NFATC2/BCL2/MAPK11/NOS3/FASLG/CCL2",10,0.0465116279069767,1.07212403100775
"hsa00240","hsa00240","Pyrimidine metabolism","3/375","58/8644",0.463672035864041,0.885192068467715,0.738452387944782,"NT5C3B/ENPP3/NT5E",3,0.0517241379310345,1.19227586206897
"hsa00350","hsa00350","Tyrosine metabolism","2/375","36/8644",0.467075445374743,0.885936651226932,0.739073540049678,"MAOA/IL4I1",2,0.0555555555555556,1.28059259259259
"hsa00250","hsa00250","Alanine, aspartate and glutamate metabolism","2/375","37/8644",0.48145777309734,0.895877122092519,0.747366163435578,"IL4I1/GLS2",2,0.0540540540540541,1.24598198198198
"hsa00760","hsa00760","Nicotinate and nicotinamide metabolism","2/375","37/8644",0.48145777309734,0.895877122092519,0.747366163435578,"ENPP3/NT5E",2,0.0540540540540541,1.24598198198198
"hsa04960","hsa04960","Aldosterone-regulated sodium reabsorption","2/375","37/8644",0.48145777309734,0.895877122092519,0.747366163435578,"ATP1A3/NR3C2",2,0.0540540540540541,1.24598198198198
"hsa04730","hsa04730","Long-term depression","3/375","60/8644",0.486166803229645,0.898949938047267,0.749929593859697,"ITPR3/RYR1/JMJD7-PLA2G4B",3,0.05,1.15253333333333
"hsa04662","hsa04662","B cell receptor signaling pathway","4/375","84/8644",0.497773273496032,0.914658390048959,0.763034031082733,"CD81/NFATC2/CARD11/CD79B",4,0.0476190476190476,1.09765079365079
"hsa04012","hsa04012","ErbB signaling pathway","4/375","85/8644",0.507113181408734,0.917142255131607,0.765106141946525,"PLCG1/CAMK2D/ERBB2/BUB1B-PAK6",4,0.0470588235294118,1.08473725490196
"hsa00430","hsa00430","Taurine and hypotaurine metabolism","1/375","16/8644",0.508483631246435,0.917142255131607,0.765106141946525,"GGT7",1,0.0625,1.44066666666667
"hsa00603","hsa00603","Glycosphingolipid biosynthesis - globo and isoglobo series","1/375","16/8644",0.508483631246435,0.917142255131607,0.765106141946525,"ST8SIA1",1,0.0625,1.44066666666667
"hsa04728","hsa04728","Dopaminergic synapse","6/375","132/8644",0.513052104566192,0.918076201181169,0.765885266291487,"MAOA/CAMK2D/ITPR3/MAPK11/PPP2R2B/KIF5C",6,0.0454545454545455,1.04775757575758
"hsa05163","hsa05163","Human cytomegalovirus infection","10/375","225/8644",0.515246847601676,0.918076201181169,0.765885266291487,"TP53/TRAF5/NFATC2/ITPR3/ADCY9/CCR5/MAPK11/FASLG/CCL2/CCR3",10,0.0444444444444444,1.02447407407407
"hsa00561","hsa00561","Glycerolipid metabolism","3/375","63/8644",0.519028694596939,0.919243591635542,0.76685913659535,"LPIN1/PLPP1/DGKK",3,0.0476190476190476,1.09765079365079
"hsa04216","hsa04216","Ferroptosis","2/375","41/8644",0.536519174851966,0.944530762913041,0.787954413744141,"TP53/ALOX15",2,0.0487804878048781,1.12442276422764
"hsa04211","hsa04211","Longevity regulating pathway","4/375","89/8644",0.543661150406456,0.945777385914189,0.788994382090963,"TP53/RPTOR/ADCY9/CAMK4",4,0.0449438202247191,1.03598501872659
"hsa04976","hsa04976","Bile secretion","4/375","89/8644",0.543661150406456,0.945777385914189,0.788994382090963,"ADCY9/ATP1A3/ABCB1/SLC4A4",4,0.0449438202247191,1.03598501872659
"hsa00513","hsa00513","Various types of N-glycan biosynthesis","2/375","42/8644",0.549643680957952,0.950560248244929,0.792984381815497,"MAN1C1/B4GALNT4",2,0.0476190476190476,1.09765079365079
"hsa04720","hsa04720","Long-term potentiation","3/375","67/8644",0.561013178006174,0.96149163694621,0.802103657029957,"CAMK2D/ITPR3/CAMK4",3,0.0447761194029851,1.03211940298507
"hsa04975","hsa04975","Fat digestion and absorption","2/375","43/8644",0.562505311410708,0.96149163694621,0.802103657029957,"FABP2/PLPP1",2,0.0465116279069767,1.07212403100775
"hsa04970","hsa04970","Salivary secretion","4/375","93/8644",0.57877189342024,0.972566745167728,0.811342827153887,"ITPR3/ADCY9/KCNN4/ATP1A3",4,0.043010752688172,0.991426523297491
"hsa05031","hsa05031","Amphetamine addiction","3/375","69/8644",0.581157763080681,0.972566745167728,0.811342827153887,"MAOA/CAMK2D/CAMK4",3,0.0434782608695652,1.00220289855072
"hsa05211","hsa05211","Renal cell carcinoma","3/375","69/8644",0.581157763080681,0.972566745167728,0.811342827153887,"TGFB3/ETS1/BUB1B-PAK6",3,0.0434782608695652,1.00220289855072
"hsa04936","hsa04936","Alcoholic liver disease","6/375","142/8644",0.585224802291953,0.972566745167728,0.811342827153887,"LPIN1/TCF7/MAPK11/LEF1/CYP2E1/FASLG",6,0.0422535211267606,0.973971830985915
"hsa00100","hsa00100","Steroid biosynthesis","1/375","20/8644",0.588536710701544,0.972566745167728,0.811342827153887,"SOAT2",1,0.05,1.15253333333333
"hsa05120","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","3/375","70/8644",0.591008817712619,0.972566745167728,0.811342827153887,"PLCG1/ATP6V0E2/MAPK11",3,0.0428571428571429,0.987885714285714
"hsa05017","hsa05017","Spinocerebellar ataxia","6/375","143/8644",0.592140977500079,0.972566745167728,0.811342827153887,"TWNK/ULK2/ITPR3/RYR1/KCNC3/RORA",6,0.041958041958042,0.967160839160839
"hsa04935","hsa04935","Growth hormone synthesis, secretion and action","5/375","120/8644",0.60076005838064,0.978344532633324,0.816162821709862,"PLCG1/ITPR3/ADCY9/MAPK11/IGFBP3",5,0.0416666666666667,0.960444444444444
"hsa00770","hsa00770","Pantothenate and CoA biosynthesis","1/375","21/8644",0.606428493341493,0.978344532633324,0.816162821709862,"ENPP3",1,0.0476190476190476,1.09765079365079
"hsa05218","hsa05218","Melanoma","3/375","72/8644",0.610258487826206,0.978344532633324,0.816162821709862,"TP53/PDGFD/PDGFRB",3,0.0416666666666667,0.960444444444445
"hsa00620","hsa00620","Pyruvate metabolism","2/375","47/8644",0.61129375611832,0.978344532633324,0.816162821709862,"ME3/PC",2,0.0425531914893617,0.980879432624113
"hsa04070","hsa04070","Phosphatidylinositol signaling system","4/375","97/8644",0.612297258518815,0.978344532633324,0.816162821709862,"PLCG1/ITPR3/INPP4B/DGKK",4,0.0412371134020619,0.95054295532646
"hsa00562","hsa00562","Inositol phosphate metabolism","3/375","73/8644",0.619653936691641,0.984747337228878,0.821504223323769,"PLCG1/PLCH2/INPP4B",3,0.0410958904109589,0.947287671232877
"hsa04115","hsa04115","p53 signaling pathway","3/375","74/8644",0.628894776377187,0.994059485241361,0.829272681923513,"TP53/BCL2/IGFBP3",3,0.0405405405405405,0.934486486486486
"hsa04080","hsa04080","Neuroactive ligand-receptor interaction","15/375","367/8644",0.633072071271326,0.995311170875774,0.830316873662927,"LPAR6/P2RY10/NMUR1/CYSLTR2/GZMA/PTGDR/P2RY6/S1PR5/PRLR/LYNX1/P2RX6/FPR3/HTR6/HRH4/P2RY11",15,0.0408719346049046,0.942125340599455
"hsa04918","hsa04918","Thyroid hormone synthesis","3/375","75/8644",0.637980044555776,0.996499097303472,0.831307875659538,"ITPR3/ADCY9/ATP1A3",3,0.04,0.922026666666667
"hsa05133","hsa05133","Pertussis","3/375","76/8644",0.646909005983304,0.996499097303472,0.831307875659538,"C4BPA/IL23A/MAPK11",3,0.0394736842105263,0.909894736842105
"hsa05220","hsa05220","Chronic myeloid leukemia","3/375","76/8644",0.646909005983304,0.996499097303472,0.831307875659538,"TP53/SMAD3/TGFB3",3,0.0394736842105263,0.909894736842105
"hsa04914","hsa04914","Progesterone-mediated oocyte maturation","4/375","102/8644",0.651815640513602,0.996499097303472,0.831307875659538,"CDC25B/ADCY9/MAPK11/MAD1L1",4,0.0392156862745098,0.903947712418301
"hsa04977","hsa04977","Vitamin digestion and absorption","1/375","24/8644",0.655580622921249,0.996499097303472,0.831307875659538,"SLC46A1",1,0.0416666666666667,0.960444444444444
"hsa04913","hsa04913","Ovarian steroidogenesis","2/375","51/8644",0.655827408641265,0.996499097303472,0.831307875659538,"ADCY9/JMJD7-PLA2G4B",2,0.0392156862745098,0.903947712418301
"hsa05415","hsa05415","Diabetic cardiomyopathy","8/375","203/8644",0.660496283807807,0.996499097303472,0.831307875659538,"SMAD3/CAMK2D/ACE/TGFB3/MAPK11/TBC1D4/NOS3/NDUFC2-KCTD14",8,0.0394088669950739,0.90840065681445
"hsa00980","hsa00980","Metabolism of xenobiotics by cytochrome P450","3/375","78/8644",0.66429613477439,0.996499097303472,0.831307875659538,"CYP2E1/CBR3/CYP2S1",3,0.0384615384615385,0.886564102564103
"hsa04961","hsa04961","Endocrine and other factor-regulated calcium reabsorption","2/375","53/8644",0.676523352579012,0.996499097303472,0.831307875659538,"ADCY9/ATP1A3",2,0.0377358490566038,0.869836477987421
"hsa04068","hsa04068","FoxO signaling pathway","5/375","131/8644",0.677710400962415,0.996499097303472,0.831307875659538,"SMAD3/TGFB3/IL7R/MAPK11/FASLG",5,0.0381679389312977,0.879796437659033
"hsa04114","hsa04114","Oocyte meiosis","5/375","131/8644",0.677710400962415,0.996499097303472,0.831307875659538,"CAMK2D/ITPR3/ADCY9/MAPK11/MAD1L1",5,0.0381679389312977,0.879796437659033
"hsa04928","hsa04928","Parathyroid hormone synthesis, secretion and action","4/375","106/8644",0.681439953915211,0.996499097303472,0.831307875659538,"GATA3/BCL2/ITPR3/ADCY9",4,0.0377358490566038,0.869836477987421
"hsa05022","hsa05022","Pathways of neurodegeneration - multiple diseases","19/375","476/8644",0.682083515485131,0.996499097303472,0.831307875659538,"ULK2/PLCG1/CAMK2D/WNT10B/BCL2/ITPR3/RYR1/DNAI2/MAPK11/NEFL/WNT7A/KIF5C/DNAH6/FASLG/TUBB4A/WNT10A/WNT1/AXIN2/NDUFC2-KCTD14",19,0.0399159663865546,0.920089635854342
"hsa00592","hsa00592","alpha-Linolenic acid metabolism","1/375","26/8644",0.684897337015186,0.996499097303472,0.831307875659538,"JMJD7-PLA2G4B",1,0.0384615384615385,0.886564102564103
"hsa00600","hsa00600","Sphingolipid metabolism","2/375","54/8644",0.6864864710401,0.996499097303472,0.831307875659538,"PLPP1/SMPD3",2,0.037037037037037,0.853728395061728
"hsa05160","hsa05160","Hepatitis C","6/375","158/8644",0.688058900519064,0.996499097303472,0.831307875659538,"TP53/CD81/PPP2R2B/FASLG/TLR3/IFNG",6,0.0379746835443038,0.875341772151899
"hsa04270","hsa04270","Vascular smooth muscle contraction","5/375","134/8644",0.696893878757902,0.997043314292931,0.831761876943262,"PRKCQ/NPR2/ITPR3/ADCY9/JMJD7-PLA2G4B",5,0.0373134328358209,0.860099502487562
"hsa00062","hsa00062","Fatty acid elongation","1/375","27/8644",0.698608580763074,0.997043314292931,0.831761876943262,"ELOVL4",1,0.037037037037037,0.853728395061728
"hsa01040","hsa01040","Biosynthesis of unsaturated fatty acids","1/375","27/8644",0.698608580763074,0.997043314292931,0.831761876943262,"ELOVL4",1,0.037037037037037,0.853728395061728
"hsa04340","hsa04340","Hedgehog signaling pathway","2/375","56/8644",0.705657415948854,0.99945738136515,0.833775760322521,"BCL2/PTCH1",2,0.0357142857142857,0.823238095238095
"hsa01212","hsa01212","Fatty acid metabolism","2/375","57/8644",0.714871685960154,0.99945738136515,0.833775760322521,"HSD17B8/ELOVL4",2,0.0350877192982456,0.808795321637427
"hsa04392","hsa04392","Hippo signaling pathway - multiple species","1/375","29/8644",0.724271521294691,0.99945738136515,0.833775760322521,"DCHS1",1,0.0344827586206897,0.794850574712644
"hsa04140","hsa04140","Autophagy - animal","6/375","165/8644",0.727389257947615,0.99945738136515,0.833775760322521,"PRKCQ/RPTOR/ULK2/MRAS/BCL2/ATG9B",6,0.0363636363636364,0.838206060606061
"hsa04610","hsa04610","Complement and coagulation cascades","3/375","86/8644",0.727580370277739,0.99945738136515,0.833775760322521,"C4BPA/PROCR/KLKB1",3,0.0348837209302326,0.804093023255814
"hsa04668","hsa04668","TNF signaling pathway","4/375","114/8644",0.735275119584483,0.99945738136515,0.833775760322521,"IL18R1/TRAF5/MAPK11/CCL2",4,0.0350877192982456,0.808795321637427
"hsa00020","hsa00020","Citrate cycle (TCA cycle)","1/375","30/8644",0.736273631511114,0.99945738136515,0.833775760322521,"PC",1,0.0333333333333333,0.768355555555556
"hsa01523","hsa01523","Antifolate resistance","1/375","30/8644",0.736273631511114,0.99945738136515,0.833775760322521,"SLC46A1",1,0.0333333333333333,0.768355555555556
"hsa04022","hsa04022","cGMP-PKG signaling pathway","6/375","167/8644",0.737966027364242,0.99945738136515,0.833775760322521,"NFATC2/NPR2/ITPR3/ADCY9/ATP1A3/NOS3",6,0.0359281437125748,0.828167664670659
