"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002703","GO:0002703","regulation of leukocyte mediated immunity","38/774","246/18614",2.49275153571703e-12,5.43170559632741e-10,4.536807795005e-10,"GATA3/CD81/SLAMF1/KLRB1/RASGRP1/CD96/HLA-DRB1/IL7R/SLAMF6/CRTAM/IL23A/NCR3/KLRK1/CD28/CX3CR1/FOXP3/CD160/TBX21/KLRC1/SH2D1B/DNASE1L3/GATA2/XCL1/TLR3/IL4I1/IL4/LAG3/SUSD4/CD1C/KLRC3/IL18R1/ARG1/KLRC4-KLRK1/CD177/KLRC4/CLC/HLA-DRB3/C4BPA",38
"GO:0002366","GO:0002366","leukocyte activation involved in immune response","38/774","296/18614",6.65496472981943e-10,7.63219376119818e-08,6.37475568856388e-08,"TP53/LY9/GATA3/CD244/ADA/CD40LG/CD81/SLAMF1/HLA-DMB/RASGRP1/HLA-DRB1/SLAMF6/RORC/IL23A/CD28/CD180/CX3CR1/LEF1/FOXP3/PTGDR/EOMES/TBX21/RORA/DOCK10/CCR6/SH2D1B/DNASE1L3/GATA2/ENPP3/NKG7/IL4/DLL1/CD1C/ZNF683/IFNG/IL18R1/CD177/PTGDS",38
"GO:0002263","GO:0002263","cell activation involved in immune response","38/774","300/18614",9.79491685045339e-10,1.10395468019679e-07,9.22073206956475e-08,"TP53/LY9/GATA3/CD244/ADA/CD40LG/CD81/SLAMF1/HLA-DMB/RASGRP1/HLA-DRB1/SLAMF6/RORC/IL23A/CD28/CD180/CX3CR1/LEF1/FOXP3/PTGDR/EOMES/TBX21/RORA/DOCK10/CCR6/SH2D1B/DNASE1L3/GATA2/ENPP3/NKG7/IL4/DLL1/CD1C/ZNF683/IFNG/IL18R1/CD177/PTGDS",38
"GO:0019221","GO:0019221","cytokine-mediated signaling pathway","38/774","492/18614",0.000193032021147714,0.00563326036715449,0.00470515551547553,"TP53/CD4/IL21R/IL11RA/TRAF5/TRIM32/IL7R/CSF1R/CMKLR1/CCR5/TNFRSF25/IL2RB/SIGIRR/CX3CR1/CCR7/IL2RA/XCL2/IL12RB2/CXCR5/TXK/CCR6/EDA2R/XCL1/RHEX/CXCR3/IL1R2/PRLR/IFNG/AXL/IL18R1/GREM2/ARG1/FOXC1/CCL23/CCL2/IL5RA/CCR3/USP18",38
"GO:0046631","GO:0046631","alpha-beta T cell activation","36/774","175/18614",1.12389347783263e-15,3.67344583229594e-13,3.06822919448307e-13,"LY9/GATA3/PRKCQ/ADA/CD3E/CD81/RUNX3/CD247/CD3G/HLA-DRB1/BCL2/CD3D/SLAMF6/CRTAM/GPR18/RORC/IL23A/BCL11B/ZAP70/CARD11/CD28/LEF1/IL2RA/FOXP3/ITK/EOMES/CD160/TBX21/RORA/XCL1/NKG7/IL4/ZNF683/IFNG/IL18R1/HLA-DRB3",36
"GO:0050670","GO:0050670","regulation of lymphocyte proliferation","36/774","239/18614",1.99648113948016e-11,3.72885634536623e-09,3.11451057758905e-09,"HLA-DPA1/PRKCQ/CD6/ADA/CD3E/HLA-DPB1/CD40LG/CD81/SLAMF1/HLA-DMB/NFATC2/HLA-DRB1/BCL2/IKZF3/ERBB2/CRTAM/IL23A/ZAP70/CARD11/FCRL3/CD28/MAD1L1/IL2RA/FOXP3/TNFSF9/SFTPD/XCL1/IL4I1/IL4/PRLR/EPHB2/TMIGD2/IDO1/ARG1/CLC/BMI1",36
"GO:0032944","GO:0032944","regulation of mononuclear cell proliferation","36/774","243/18614",3.25091797884635e-11,5.592434428347e-09,4.67105583276344e-09,"HLA-DPA1/PRKCQ/CD6/ADA/CD3E/HLA-DPB1/CD40LG/CD81/SLAMF1/HLA-DMB/NFATC2/HLA-DRB1/BCL2/IKZF3/ERBB2/CRTAM/IL23A/ZAP70/CARD11/FCRL3/CD28/MAD1L1/IL2RA/FOXP3/TNFSF9/SFTPD/XCL1/IL4I1/IL4/PRLR/EPHB2/TMIGD2/IDO1/ARG1/CLC/BMI1",36
"GO:0018212","GO:0018212","peptidyl-tyrosine modification","36/774","372/18614",2.39829646301145e-06,0.00013174507545131,0.000110039484773467,"TP53/CD4/FYN/CD3E/CD81/LCK/DLG3/ACE/ZFYVE28/IL24/CSF1R/ERBB2/IL23A/ZAP70/DYRK2/ITK/TNK1/EPHA1/IL12RB2/TXK/LTK/NEURL1/TIE1/EPHA4/PDGFD/MATK/PDGFRB/IL4/ENPP2/PRLR/EPHB2/NRP1/TPST1/IFNG/AXL/EPHB3",36
"GO:0016055","GO:0016055","Wnt signaling pathway","36/774","461/18614",0.000228416986307572,0.00646326717771966,0.00539841499011004,"MKS1/NDRG2/GATA3/RARG/SMAD3/WNT10B/TCF7/TIAM1/TLE5/PTPRO/TRABD2A/MDFIC/IGFBP4/TLE2/BCL9L/ITGA3/LEF1/AMER1/PKD1/NOG/CELSR2/ZNF703/WNT7A/ADGRA2/GRB10/WNT10A/WNT1/TPBG/DKK3/CELSR1/LGR6/EDA/SOX13/AXIN2/DAAM2/JUP",36
"GO:0051960","GO:0051960","regulation of nervous system development","36/774","461/18614",0.000228416986307572,0.00646326717771966,0.00539841499011004,"TP53/AMIGO1/RARG/ULK2/BIN1/LPIN1/ACE/TIAM1/TRIM32/SEMA4C/CX3CR1/HOXB3/LEF1/SOX8/PLXNB2/TRIM46/PLXNA1/NOG/NEFL/NLGN2/NEURL1/WNT7A/EPHA4/GATA2/LRRN3/TPBG/DLL1/ZNF365/PTPN13/EPHB2/NRP1/IFNG/EPHB3/DAAM2/OLIG2/EGR2",36
"GO:0002831","GO:0002831","regulation of response to biotic stimulus","36/774","463/18614",0.000248245118566161,0.00690543974496593,0.00576773764838825,"RFTN1/SARM1/FYN/MFHAS1/KLRB1/NLRC3/RASGRP1/CD96/HLA-DRB1/SLAMF6/CRTAM/IL23A/NCR3/FCRL3/KLRK1/PYHIN1/CD180/SIGIRR/FOXP3/CD160/TLR7/ZDHHC1/TXK/KLRC1/SH2D1B/TLR3/IL4I1/IL4/LAG3/SUSD4/KLRC3/ARG1/KLRC4-KLRK1/KLRC4/USP18/HLA-DRB3",36
"GO:0198738","GO:0198738","cell-cell signaling by wnt","36/774","463/18614",0.000248245118566161,0.00690543974496593,0.00576773764838825,"MKS1/NDRG2/GATA3/RARG/SMAD3/WNT10B/TCF7/TIAM1/TLE5/PTPRO/TRABD2A/MDFIC/IGFBP4/TLE2/BCL9L/ITGA3/LEF1/AMER1/PKD1/NOG/CELSR2/ZNF703/WNT7A/ADGRA2/GRB10/WNT10A/WNT1/TPBG/DKK3/CELSR1/LGR6/EDA/SOX13/AXIN2/DAAM2/JUP",36
"GO:0043410","GO:0043410","positive regulation of MAPK cascade","36/774","495/18614",0.000856313381205747,0.0181744174446168,0.0151801008486473,"CD4/SORBS3/MFHAS1/CD81/TRAF5/SLAMF1/MAP4K1/RASGRP1/HLA-DRB1/TGFB3/CSF1R/SEMA4C/ERBB2/IGFBP4/FCRL3/IGFBP3/CCR7/XCL2/GPR55/WNT7A/EDA2R/EPHA4/PDGFD/CD27/XCL1/TLR3/P2RY6/PDGFRB/MARCO/EDAR/TPBG/NRP1/AKAP12/ALOX15/CCL23/CCL2",36
"GO:0002699","GO:0002699","positive regulation of immune effector process","35/774","267/18614",1.80760734464697e-09,1.88679085679763e-07,1.57593362063868e-07,"GATA3/CD244/CD81/SLAMF1/HLA-DMB/RASGRP1/HLA-DRB1/SLAMF6/CRTAM/IL23A/NCR3/KLRK1/CD28/FOXP3/CD160/TLR7/TBX21/SH2D1B/GATA2/XCL1/TLR3/ENPP3/IL4/LAG3/EPHB2/CD1C/IFNG/KLRC3/SPON2/IL18R1/ARG1/KLRC4-KLRK1/CD177/KLRC4/HLA-DRB3",35
"GO:0018108","GO:0018108","peptidyl-tyrosine phosphorylation","35/774","370/18614",5.49056328765404e-06,0.00027190766826814,0.000227109663262053,"TP53/CD4/FYN/CD3E/CD81/LCK/DLG3/ACE/ZFYVE28/IL24/CSF1R/ERBB2/IL23A/ZAP70/DYRK2/ITK/TNK1/EPHA1/IL12RB2/TXK/LTK/NEURL1/TIE1/EPHA4/PDGFD/MATK/PDGFRB/IL4/ENPP2/PRLR/EPHB2/NRP1/IFNG/AXL/EPHB3",35
"GO:0050727","GO:0050727","regulation of inflammatory response","35/774","414/18614",5.91969174706068e-05,0.00218627259607546,0.00182607440333058,"GATA3/FYN/ADA/SMAD3/MFHAS1/CD81/PLCG1/NLRC3/ACE/CAMK2N1/HLA-DRB1/IL23A/CD28/CCR7/IL2RA/FOXP3/ETS1/DAGLA/KLKB1/TLR7/RORA/DNASE1L3/XCL1/TLR3/ENPP3/NKG7/PLA2G7/IL4/IFNG/NT5E/LGALS2/IDO1/ALOX15/MACIR/USP18",35
"GO:0048732","GO:0048732","gland development","35/774","441/18614",0.000204546702243906,0.00591646810870978,0.00494170351438816,"GATA3/RARG/ADA/LBH/SMAD3/SLC29A2/BCL2/TGFB3/CSF1R/BCL11B/HOXB3/LEF1/MAD1L1/PTCH1/MSX2/PKD1/PLXNA1/NOG/ZNF703/TGFBR3/NEURL1/LSR/GATA2/EDAR/WNT10A/WNT1/DKK3/PRLR/EDA/NRP1/NTN4/EPHB3/PCSK9/ARG1/FOXC1",35
"GO:0032102","GO:0032102","negative regulation of response to external stimulus","35/774","446/18614",0.000253247758692045,0.00699045956643579,0.00583875007384724,"GATA3/FYN/ADA/SMAD3/MFHAS1/PLCG1/NLRC3/CD96/HLA-DRB1/PTPRO/SEMA4C/GPR18/KLRK1/SIGIRR/DPP4/NOS3/IL2RA/FOXP3/KLKB1/RORA/KLRC1/EPHA4/PHLDB2/ENPP3/IL4/SUSD4/NRP1/ADTRP/NT5E/ARG1/KLRC4-KLRK1/MACIR/CCL2/USP18/NBL1",35
"GO:0006816","GO:0006816","calcium ion transport","35/774","455/18614",0.000367594254881261,0.00913674389413993,0.00763142445494937,"CD4/FYN/TPCN1/CACNB1/BIN1/LCK/PLCG1/CAMK2D/ACE/MCOLN2/BCL2/RYR1/KCNN4/CCR5/PLCH2/FCRL3/NMUR1/CACNA2D3/CCR7/NOS3/SLC25A23/PKD1/CACNA2D2/CACNA1H/JPH4/FASLG/TRPC1/XCL1/P2RY6/CACNA1I/PDGFRB/WFS1/MCOLN3/MICU3/CCL2",35
"GO:0007389","GO:0007389","pattern specification process","35/774","467/18614",0.000590579202543614,0.0137879151679557,0.0115162944496005,"MKS1/TP53/ANKS6/RARG/ACVR2A/SMAD3/CDK20/ACVR2B/DNAI2/NRP2/DCHS1/HOXB3/LEF1/PTCH1/ENG/MSX2/EOMES/TIFAB/NOG/CELSR2/WNT7A/ASB2/ADGRG1/WNT1/MEOX1/DLL1/AXIN2/NRP1/DAAM2/GREM2/FOXC1/LHX1/BMI1/EGR2/NBL1",35
"GO:0002440","GO:0002440","production of molecular mediator of immune response","34/774","328/18614",9.79152021920055e-07,5.92658959934389e-05,4.95015744415139e-05,"GATA3/HLA-DPA1/HLA-DMA/CD244/HLA-DPB1/CD40LG/CD81/SLAMF1/HLA-DMB/CD96/HLA-DRB1/TGFB3/FCRL3/CD28/FOXP3/CD160/TLR7/TBX21/CCR6/HLA-DQA1/XCL1/TLR3/IL4/EPHB2/AXL/SPON2/IL18R1/ARG1/VPREB3/CLC/HLA-DRB5/HLA-DQA2/HLA-DRB3/HLA-DRB4",34
"GO:0003002","GO:0003002","regionalization","34/774","422/18614",0.000189442344714636,0.00556799240020818,0.00465064073812707,"MKS1/TP53/ANKS6/RARG/ACVR2A/SMAD3/CDK20/ACVR2B/DNAI2/NRP2/HOXB3/LEF1/PTCH1/ENG/MSX2/EOMES/TIFAB/NOG/CELSR2/WNT7A/ASB2/ADGRG1/WNT1/MEOX1/DLL1/AXIN2/NRP1/DAAM2/GREM2/FOXC1/LHX1/BMI1/EGR2/NBL1",34
"GO:0050808","GO:0050808","synapse organization","34/774","466/18614",0.00111596515115951,0.022515630225709,0.0188060793991695,"ARHGEF9/AMIGO1/FYN/CACNB1/LRFN3/CAMK1/SPOCK2/PTPRO/ERBB2/COLQ/NRP2/CX3CR1/ITGA3/ADGRL1/PLXNB2/SEZ6L/NEFL/ARHGAP22/DOCK10/NLGN2/NEURL1/WNT7A/EPHA4/LRRN3/LZTS3/CNKSR2/TPBG/ANK3/CNTNAP1/ZNF365/PTPN13/EPHB2/NRP1/EPHB3",34
"GO:0002706","GO:0002706","regulation of lymphocyte mediated immunity","33/774","184/18614",1.04167540531413e-12,2.72377284981538e-10,2.27501908520605e-10,"GATA3/CD81/SLAMF1/KLRB1/RASGRP1/CD96/HLA-DRB1/IL7R/SLAMF6/CRTAM/IL23A/NCR3/KLRK1/CD28/FOXP3/CD160/TBX21/KLRC1/SH2D1B/XCL1/IL4I1/IL4/LAG3/SUSD4/CD1C/KLRC3/IL18R1/ARG1/KLRC4-KLRK1/KLRC4/CLC/HLA-DRB3/C4BPA",33
"GO:0045619","GO:0045619","regulation of lymphocyte differentiation","33/774","212/18614",5.65377396607033e-11,8.79969533719089e-09,7.34990615589143e-09,"GATA3/CD2/ADA/TESPA1/RUNX3/WNT10B/TCF7/RASGRP1/HLA-DRB1/IKZF3/IL7R/ERBB2/CRTAM/IL23A/ZAP70/CARD11/FCRL3/CD28/LEF1/CAMK4/IL2RA/FOXP3/TNFSF9/TBX21/DTX1/CD27/IL4I1/IL4/LAG3/ZNF683/SOX13/IFNG/AXL",33
"GO:0042098","GO:0042098","T cell proliferation","33/774","213/18614",6.43095281432596e-11,9.7765438481974e-09,8.16581450377203e-09,"TP53/HLA-DPA1/PRKCQ/FYN/CD6/CD3E/HLA-DPB1/CD40LG/CD81/SLAMF1/HLA-DMB/RASGRP1/HLA-DRB1/ERBB2/CRTAM/IL23A/ZAP70/CARD11/SH2D2A/CD28/MAD1L1/IL2RA/FOXP3/TNFSF9/SFTPD/XCL1/IL4I1/IL4/TMIGD2/IDO1/ARG1/CLC/BMI1",33
"GO:0031349","GO:0031349","positive regulation of defense response","33/774","441/18614",0.000859483507342641,0.0181826656553361,0.0151869901297437,"RFTN1/SARM1/FYN/MFHAS1/CD81/ACE/RASGRP1/CAMK2N1/SLAMF6/CRTAM/IL23A/NCR3/FCRL3/KLRK1/PYHIN1/CD28/CCR7/ETS1/CD160/TLR7/TXK/SH2D1B/TLR3/NKG7/PLA2G7/LAG3/IFNG/KLRC3/LGALS2/IDO1/ARG1/KLRC4-KLRK1/KLRC4",33
"GO:0050852","GO:0050852","T cell receptor signaling pathway","32/774","140/18614",1.85204400049125e-15,5.76514839581491e-13,4.81531440127725e-13,"RFTN1/GATA3/SKAP1/FYN/ADA/CD3E/HLA-DPB1/TESPA1/CD81/UBASH3A/CD247/LCK/PLCG1/CD3G/HLA-DRB1/CD3D/SH2D1A/KCNN4/ZAP70/CARD11/PVRIG/CD28/CCR7/FOXP3/ITK/CD160/TRAT1/TXK/THEMIS/CD8B/CD8A/HLA-DRB3",32
"GO:0001822","GO:0001822","kidney development","31/774","310/18614",6.14456362895773e-06,0.000302007612349599,0.000252250506873002,"GATA3/ANKS6/SMAD3/ACE/ACVR2B/BCL2/PTPRO/KLHL3/DCHS1/UPK3A/GCNT4/ITGA3/PTCH1/AMER1/SOX8/PKD1/NOG/EPHA4/ID3/PDGFD/PDGFRB/WFS1/ADAMTS1/WNT1/DLL1/NRP1/PCSK9/FOXC1/LHX1/HPGD/EPCAM",31
"GO:0060326","GO:0060326","cell chemotaxis","31/774","312/18614",7.00322753077184e-06,0.000331739843251127,0.000277084219695755,"PRKCQ/SLAMF1/CSF1R/PTPRO/GPR18/CMKLR1/IL23A/CCR5/KLRK1/CX3CR1/LEF1/DPP4/CCR7/XCL2/CXCR5/CCR6/SFTPD/PDGFD/XCL1/PDGFRB/PLA2G7/IL4/TPBG/MTUS1/NR4A1/NRP1/PLEKHG5/KLRC4-KLRK1/CCL23/CCL2/NBL1",31
"GO:0072001","GO:0072001","renal system development","31/774","320/18614",1.16549820693671e-05,0.000521839847859266,0.000435864397936605,"GATA3/ANKS6/SMAD3/ACE/ACVR2B/BCL2/PTPRO/KLHL3/DCHS1/UPK3A/GCNT4/ITGA3/PTCH1/AMER1/SOX8/PKD1/NOG/EPHA4/ID3/PDGFD/PDGFRB/WFS1/ADAMTS1/WNT1/DLL1/NRP1/PCSK9/FOXC1/LHX1/HPGD/EPCAM",31
"GO:0001818","GO:0001818","negative regulation of cytokine production","31/774","371/18614",0.000189577932986486,0.00556799240020818,0.00465064073812707,"NDRG2/GATA3/SLAMF1/TIGIT/NLRC3/CD96/HLA-DRB1/TGFB3/GPR18/TRIB2/CMKLR1/IL23A/SIGIRR/CX3CR1/LEF1/CCR7/FOXP3/TBX21/SFTPD/ABCD2/XCL1/IL1R2/IL4/DLL1/LAG3/EPHB2/IFNG/AXL/IDO1/ARG1/MACIR",31
"GO:0060537","GO:0060537","muscle tissue development","31/774","426/18614",0.00188605260264631,0.0325306751015803,0.0271711008191263,"SMAD3/WNT10B/NPR2/BCL2/IGSF8/RYR1/PI16/MRTFB/HLF/MAPK11/HIVEP3/HOPX/BCL9L/LEF1/PTCH1/ENG/SOX8/MSX2/HEG1/EOMES/NOG/TGFBR3/NEURL1/ASB2/PDGFRB/CNTNAP1/DLL1/NR4A1/FOXC1/PAX5/EGR2",31
"GO:0040013","GO:0040013","negative regulation of locomotion","31/774","427/18614",0.0019555844589968,0.033377690883713,0.0278785669611554,"GATA3/EVL/ADA/BCL2/IL24/PTPRO/SEMA4C/GPR18/GCSAM/KLRK1/IGFBP3/CX3CR1/DPP4/ENG/EPHA1/NOG/SRGAP3/TIE1/EPHA4/ADGRG1/PHLDB2/IL4/NRP1/ADTRP/ACVR1C/KLRC4-KLRK1/MACIR/TMIGD3/CCL2/JUP/NBL1",31
"GO:0045580","GO:0045580","regulation of T cell differentiation","30/774","180/18614",7.54243289723056e-11,1.12056554202719e-08,9.3594735497452e-09,"GATA3/CD2/ADA/TESPA1/RUNX3/WNT10B/TCF7/RASGRP1/HLA-DRB1/IL7R/ERBB2/CRTAM/IL23A/ZAP70/CARD11/CD28/LEF1/CAMK4/IL2RA/FOXP3/TNFSF9/TBX21/DTX1/CD27/IL4I1/IL4/LAG3/ZNF683/SOX13/IFNG",30
"GO:0007517","GO:0007517","muscle organ development","30/774","351/18614",0.00016150948691552,0.00512518211634348,0.0042807854298968,"FGFRL1/SMAD3/WNT10B/BCL2/IGSF8/RYR1/MRTFB/HLF/HIVEP3/BCL9L/LEF1/ENG/SOX8/HEG1/EOMES/TIFAB/NOG/CACNA1H/TGFBR3/LAMA2/NEURL1/ASB2/ID3/SPEG/CNTNAP1/DLL1/NR4A1/FOXC1/PAX5/EGR2",30
"GO:0042692","GO:0042692","muscle cell differentiation","30/774","410/18614",0.00203867491307463,0.0346151114461529,0.0289121169490584,"CD81/BIN1/WNT10B/CAMK1/NFATC2/TRIM32/BCL2/RYR1/PI16/SEMA4C/MRTFB/PIEZO1/MAPK11/HOPX/PTGFRN/ENG/OBSCN/TMEM204/CACNA1H/RORA/LAMA2/ASB2/OLFM2/SPEG/PDGFRB/IL4/WNT1/CNTNAP1/DLL1/TNNT1",30
"GO:0042129","GO:0042129","regulation of T cell proliferation","29/774","183/18614",5.37551539197923e-10,6.27495430667289e-08,5.24112750717975e-08,"HLA-DPA1/PRKCQ/CD6/CD3E/HLA-DPB1/CD40LG/CD81/SLAMF1/HLA-DMB/HLA-DRB1/ERBB2/CRTAM/IL23A/ZAP70/CARD11/CD28/MAD1L1/IL2RA/FOXP3/TNFSF9/SFTPD/XCL1/IL4I1/IL4/TMIGD2/IDO1/ARG1/CLC/BMI1",29
"GO:0001906","GO:0001906","cell killing","29/774","197/18614",3.12573570700055e-09,3.09589913888827e-07,2.58583590306409e-07,"CD2/KLRB1/RASGRP1/HLA-DRB1/IL7R/SH2D1A/SLAMF6/CRTAM/IL23A/NCR3/KLRK1/CX3CR1/CD160/KLRC1/DNASE1L3/XCL1/PRF1/GNLY/NKG7/IL4/GZMB/LAG3/CD1C/IFNG/KLRC3/GZMM/ARG1/KLRC4-KLRK1/KLRC4",29
"GO:0042113","GO:0042113","B cell activation","29/774","276/18614",4.65678373286766e-06,0.000238672465935042,0.00019935010922523,"TP53/ADA/CD40LG/CD81/NFATC2/RASGRP1/BCL2/IKZF3/IL7R/ZAP70/CARD11/FCRL3/CD28/CD180/LEF1/FOXP3/CXCR5/TBX21/DOCK10/CCR6/CD79B/CD27/IL4I1/IL4/DLL1/PRLR/EPHB2/PAX5/BMI1",29
"GO:0050767","GO:0050767","regulation of neurogenesis","29/774","381/18614",0.00133303297568867,0.0254796390704,0.0212817545241524,"TP53/AMIGO1/ULK2/BIN1/ACE/TIAM1/TRIM32/SEMA4C/CX3CR1/HOXB3/LEF1/SOX8/PLXNB2/TRIM46/PLXNA1/NOG/NEFL/NEURL1/WNT7A/EPHA4/GATA2/DLL1/ZNF365/EPHB2/NRP1/IFNG/DAAM2/OLIG2/EGR2",29
"GO:0070665","GO:0070665","positive regulation of leukocyte proliferation","28/774","166/18614",2.42866063574742e-10,3.17523091517618e-08,2.65209741423618e-08,"HLA-DPA1/PRKCQ/CD6/ADA/CD3E/HLA-DPB1/CD40LG/CD81/SLAMF1/HLA-DMB/NFATC2/BCL2/CSF1R/IL23A/ZAP70/CARD11/FCRL3/CD28/IL2RA/FOXP3/TNFSF9/XCL1/IL4/PRLR/EPHB2/TMIGD2/IL5RA/BMI1",28
"GO:0002285","GO:0002285","lymphocyte activation involved in immune response","28/774","208/18614",4.26821619867564e-08,3.44460855441268e-06,2.87709388207025e-06,"TP53/LY9/GATA3/CD244/ADA/CD40LG/CD81/HLA-DMB/HLA-DRB1/SLAMF6/RORC/IL23A/CD28/CD180/LEF1/FOXP3/EOMES/TBX21/RORA/DOCK10/CCR6/NKG7/IL4/DLL1/CD1C/ZNF683/IFNG/IL18R1",28
"GO:0007162","GO:0007162","negative regulation of cell adhesion","28/774","312/18614",0.000116724786203397,0.0038536865020788,0.003218774407427,"RUNX3/TIGIT/HLA-DRB1/PTPRO/ERBB2/CRTAM/TGFBI/MAD1L1/IL2RA/FOXP3/PLXNB2/PLXNA1/ZNF703/TBX21/SFTPD/EPHA4/DTX1/PHLDB2/XCL1/IL4I1/IL4/WNT1/LAG3/EPHB2/ADTRP/IDO1/ARG1/EPCAM",28
"GO:0060485","GO:0060485","mesenchyme development","28/774","320/18614",0.00017892238197105,0.00549598258396936,0.00459049486132365,"GATA3/SMAD3/TIAM1/BCL2/TGFB3/SEMA4C/NRP2/DCHS1/BCL9L/LEF1/NOS3/ENG/AMER1/SOX8/MSX2/EOMES/NOG/ZNF703/TGFBR3/EPHA4/PHLDB2/OLFM1/PDGFRB/WNT10A/MEOX1/AXIN2/NRP1/FOXC1",28
"GO:0051098","GO:0051098","regulation of binding","28/774","369/18614",0.00167475980130198,0.0306664000591346,0.0256139734316774,"PRMT7/HABP4/GATA3/SPAG8/SMAD3/CAMK1/ACE/TIAM1/TLE5/TFAP4/PYHIN1/LDOC1/HOPX/LEF1/MSX2/GZMA/PKD1/NOG/ZNF618/TGFBR3/EPHA4/SPON1/NRP1/IFNG/PCSK9/GREM2/FOXC1/CCL23",28
"GO:0071674","GO:0071674","mononuclear cell migration","27/774","202/18614",8.61774108583675e-08,6.4751923538063e-06,5.40837544007686e-06,"GATA3/ITGB7/SLAMF1/CSF1R/PTPRO/CRTAM/CMKLR1/GCSAM/ZAP70/CCR5/KLRK1/CX3CR1/CCR7/XCL2/TBX21/CCR6/ASB2/PDGFD/XCL1/GPR15/PLA2G7/IL4/ADTRP/KLRC4-KLRK1/CCL23/CCL2/NBL1",27
"GO:0002819","GO:0002819","regulation of adaptive immune response","27/774","205/18614",1.17223993065382e-07,8.61003643447644e-06,7.19149440603356e-06,"CD4/GATA3/SKAP1/PRKCQ/ADA/CD81/SLAMF1/HLA-DRB1/IL7R/IL23A/CD28/FOXP3/CD160/TBX21/KLRC1/XCL1/IL4I1/IL4/SUSD4/EPHB2/CD1C/IL18R1/ALOX15/ARG1/CLC/HLA-DRB3/C4BPA",27
"GO:0060070","GO:0060070","canonical Wnt signaling pathway","27/774","313/18614",0.000291294026088769,0.00764734557647502,0.00638741117447661,"MKS1/GATA3/RARG/SMAD3/WNT10B/TCF7/TLE5/PTPRO/IGFBP4/TLE2/BCL9L/LEF1/AMER1/NOG/ZNF703/WNT7A/ADGRA2/WNT10A/WNT1/TPBG/DKK3/LGR6/EDA/SOX13/AXIN2/DAAM2/JUP",27
"GO:0032496","GO:0032496","response to lipopolysaccharide","27/774","345/18614",0.00128803452164998,0.0249866038354275,0.0208699490502424,"CD6/ACE/CD96/IL24/CCR5/KLRK1/CD180/SIGIRR/CX3CR1/LDOC1/CCR7/NOS3/FOXP3/TIFAB/IL12RB2/FASLG/NR4A1/EPHB2/AXL/AKAP12/SPON2/IDO1/ARG1/KLRC4-KLRK1/CCL2/HPGD/TIMP4",27
"GO:0002237","GO:0002237","response to molecule of bacterial origin","27/774","366/18614",0.00297624876115116,0.0451993307164256,0.0377525387351513,"CD6/ACE/CD96/IL24/CCR5/KLRK1/CD180/SIGIRR/CX3CR1/LDOC1/CCR7/NOS3/FOXP3/TIFAB/IL12RB2/FASLG/NR4A1/EPHB2/AXL/AKAP12/SPON2/IDO1/ARG1/KLRC4-KLRK1/CCL2/HPGD/TIMP4",27
"GO:0001909","GO:0001909","leukocyte mediated cytotoxicity","26/774","139/18614",1.01171106859234e-10,1.40713941604003e-08,1.17530690096047e-08,"CD2/KLRB1/RASGRP1/HLA-DRB1/IL7R/SH2D1A/SLAMF6/CRTAM/IL23A/NCR3/KLRK1/CX3CR1/CD160/KLRC1/DNASE1L3/XCL1/PRF1/NKG7/GZMB/LAG3/CD1C/KLRC3/GZMM/ARG1/KLRC4-KLRK1/KLRC4",26
"GO:0050671","GO:0050671","positive regulation of lymphocyte proliferation","26/774","145/18614",2.67468725212892e-10,3.42831971905231e-08,2.86348870522038e-08,"HLA-DPA1/PRKCQ/CD6/ADA/CD3E/HLA-DPB1/CD40LG/CD81/SLAMF1/HLA-DMB/NFATC2/BCL2/IL23A/ZAP70/CARD11/FCRL3/CD28/IL2RA/FOXP3/TNFSF9/XCL1/IL4/PRLR/EPHB2/TMIGD2/BMI1",26
"GO:0002705","GO:0002705","positive regulation of leukocyte mediated immunity","26/774","148/18614",4.26069024768791e-10,5.15780224983998e-08,4.30803125044e-08,"GATA3/CD81/SLAMF1/RASGRP1/HLA-DRB1/SLAMF6/CRTAM/IL23A/NCR3/KLRK1/CD28/FOXP3/CD160/TBX21/SH2D1B/XCL1/IL4/LAG3/CD1C/KLRC3/IL18R1/ARG1/KLRC4-KLRK1/CD177/KLRC4/HLA-DRB3",26
"GO:0032946","GO:0032946","positive regulation of mononuclear cell proliferation","26/774","148/18614",4.26069024768791e-10,5.15780224983998e-08,4.30803125044e-08,"HLA-DPA1/PRKCQ/CD6/ADA/CD3E/HLA-DPB1/CD40LG/CD81/SLAMF1/HLA-DMB/NFATC2/BCL2/IL23A/ZAP70/CARD11/FCRL3/CD28/IL2RA/FOXP3/TNFSF9/XCL1/IL4/PRLR/EPHB2/TMIGD2/BMI1",26
"GO:0007411","GO:0007411","axon guidance","26/774","225/18614",2.53155816794004e-06,0.000133879974068649,0.000111822649290932,"GATA3/PRKCQ/FYN/B4GAT1/PLEKHG4/CSF1R/PTPRO/SEMA4C/ERBB2/BCL11B/NRP2/ARHGEF25/PTCH1/PLXNB2/PLXNA1/ROBO3/NOG/KIF5C/EPHA4/NCAM1/LGR6/EPHB2/NRP1/EPHB3/LHX1/EGR2",26
